Title,Thumbnail,maps location name,General overview,Population and lifestyle,Airport name,Airport distance km,Airport drive time min,Beach name,Beach distance km,Beach drive time min,Golf course name,Golf distance km,Golf drive time min,History and character,Property styles,Property prices,Things to do,Education,Points of interest,Nearby restaurants
Almuñecar,https://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Almu%C3%B1%C3%A9car%20modified.jpg,,,,,,,,,,,,,,,,,,,
Altos de los Monteros,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Artola,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Atalaya,https://commons.wikimedia.org/wiki/Special:FilePath/Atalaya%2C%20en%20Badajoz%20%28Espa%C3%B1a%29.jpg,,,,,,,,,,,,,,,,,,,
Bahía de Marbella,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Bel Air,https://commons.wikimedia.org/wiki/Special:FilePath/09133jfMakati%20Avenue%20Urdaneta%20Jupiter%20Street%20Bel-Air%20Makati%20Cityfvf%2014.jpg,,,,,,,,,,,,,,,,,,,
Benahavís (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Benalmádena (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Benalmadena Costa,https://commons.wikimedia.org/wiki/Special:FilePath/Benalm%C3%A1dena%20pueblo.jpg,,,,,,,,,,,,,,,,,,,
Benalmadena Pueblo,https://commons.wikimedia.org/wiki/Special:FilePath/Benalm%C3%A1dena%20Pueblo%20%288112951164%29.jpg,,,,,,,,,,,,,,,,,,,
Cabopino,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Calahonda,https://commons.wikimedia.org/wiki/Special:FilePath/Calahonda%2024J%2009.jpg,,,,,,,,,,,,,,,,,,,
Calanova Golf,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Campo Mijas,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Cancelada,https://commons.wikimedia.org/wiki/Special:FilePath/Estepona%20aerial.jpg,,,,,,,,,,,,,,,,,,,
Carib Playa,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Casares (town),https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Casares Pueblo,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Cerros del Aguila,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
Colmenar,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
El Chaparral,https://commons.wikimedia.org/wiki/Special:FilePath/El%20Chaparral%20%28Granada%29.jpg,,,,,,,,,,,,,,,,,,,
El Coto,https://commons.wikimedia.org/wiki/Special:FilePath/El%20Coto%20%28Somiedo%2C%20Asturias%29.jpg,,,,,,,,,,,,,,,,,,,
El Faro,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
El Higuerón,https://commons.wikimedia.org/wiki/Special:FilePath/Andalusia_montage.jpg,,,,,,,,,,,,,,,,,,,
